cell,batch
Cell_472,Batch_11
Cell_473,Batch_11
Cell_474,Batch_11
Cell_475,Batch_11
Cell_476,Batch_11
Cell_477,Batch_11
Cell_478,Batch_11
Cell_479,Batch_11
Cell_480,Batch_11
Cell_481,Batch_11
Cell_482,Batch_11
Cell_483,Batch_11
Cell_484,Batch_11
Cell_485,Batch_11
Cell_486,Batch_11
Cell_487,Batch_11
Cell_488,Batch_12
Cell_489,Batch_12
Cell_490,Batch_12
Cell_491,Batch_12
Cell_492,Batch_12
Cell_493,Batch_12
Cell_494,Batch_12
Cell_495,Batch_12
Cell_496,Batch_12
Cell_497,Batch_12
Cell_498,Batch_12
Cell_499,Batch_12
Cell_500,Batch_12
Cell_501,Batch_12
Cell_502,Batch_12
Cell_503,Batch_12
Cell_504,Batch_12
Cell_505,Batch_12
Cell_506,Batch_12
Cell_507,Batch_12
Cell_508,Batch_12
Cell_509,Batch_12
Cell_510,Batch_12
Cell_511,Batch_12
Cell_512,Batch_12
Cell_513,Batch_12
Cell_514,Batch_12
Cell_515,Batch_12
Cell_516,Batch_12
Cell_517,Batch_12
Cell_518,Batch_12
Cell_519,Batch_12
Cell_520,Batch_12
Cell_521,Batch_12
Cell_522,Batch_12
Cell_523,Batch_8
